Season,Episode Number,Episode Title,Character,Dialogue,Main Characters,Minor Characters,Antagonists,Locations
1,0,Unaired pilot,Aang,"[Frontal view.] Wahoo! Hang on, Momo.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Frontal view.] You idiot! We're about to die!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"Firebolt! [Close-up.] Aang, focus!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Zuko,[View from behind as he turns to his soldiers.] I want the Avatar. Improve your firebending [Frontal view of soldiers.] or you're swimming home in your armor. [Close-up.] Again!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,Whoa!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Frontal view.] Aang, do something!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[View from behind, from the saddle.] Doing it. [Side-view of Appa.] Appa, yip yip! [Appa flies down. Cut to a frontal view of Sokka and Kya screaming. Side-view of Appa as he manages to dodge the fireballs. Cut behind Appa he flies down to the water. Frontal view of Appa as he skims the water. The camera pans right to follow him glide over the top of the water. Cut to an underwater view of Appa. As a shadowed creature passes in front of the camera. Cut to a view from behind Aang, who turns to Kya and Sokka.] You guys having fun yet? [A huge sea serpent emerges from the water in front of the gang and the camera zooms out. Cut to a close-up of Aang, Sokka, Kya, and Momo, all screaming. Frontal view of Appa, who dodges the serpent and escapes its bite. Frontal view of Aang.] Not bad, huh? Let's do it again!","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Looking good, Kya.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Side-view. To Kya.] It won't be long until the Fire Nation sends their whole fleet after your little boyfriend. [Frontal view of Kya.] Kya, we don't have time for this.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,Keep it up.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Frontal view of Kya.] Hey! Quit playing around!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,I said keep it up.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[View from behind Kya, who turns to Sokka.] Okay, for the last time, waterbending is not playing. Braiding my doll's hair, now that's playing.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Close-up. Blushing.] I was six.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,[Frontal view of Aang laughing.] And he's not my boyfriend.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Listen Kya. Here's the secret to bending. [Frontal view; standing.] Energy comes from the Earth, through your roots, and into your branches.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,[Frontal view. Aang begins to enter a bending stance.] My roots?,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Use your legs. [Side-view of Aang from behind Kya. Aang turns his head slightly and the camera cuts to Sokka, readying his boomerang. Cut back to side-view of Aang from behind Kya as Aang turns his head to see what Sokka is looking at. Cut close-up a tree with bananas on it. The camera zooms out to show Sokka aiming for it. Side-view of Aang from behind Kya.] Watch closely.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"What's your problem, air boy?","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,Me?,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,That was going to be our lunch.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"[Close-up.] Oh uh, well, the Earth's bounty is rich, Sokka. There's got to be more food somewhere on this island. [Side-view of the two.]","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,[Poking Aang with the tip of his boomerang.] So find it. I'm hungry.,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[Approaching, moving the boomerang away from Aang.] No, Sokka. We can't let him wander around alone. What if he got hurt? [Close-up of Sokka.] The whole world is counting on Aang.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Sokka,"[Frontal view. He leaves, pushing Aang out of his way.] Right, so once again, I have to do everything. [Camera pans left as he leaves and Momo lands on Aang's shoulder. Wide-view of the beach with Sokka in the foreground as he exits to the left.] You better hope I find some food or you'll find me eating Momo.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Kya,"[Frontal view. Aang grabs Momo protectively in shock. Calling to Sokka.] Sokka, be careful.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Fire Nation soldier,Hold it right there!,"Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
1,0,Unaired pilot,Aang,"Quick Kya, [Frontal view of Appa.] let's go swimming before Sokka gets back.","Aang, Appa, Kya, Momo, Sokka",Fire Nation soldiers,Zuko,
